#,Time,Feature Name,Description,Task URL,Changelog URL
1,"February 6, 2026",Update product list view,"[Improvement] Hiển thị & quản lý toàn bộ sản phẩm trong Product List
• Vấn đề: Hiện tại chỉ các sản phẩm được sync theo plan limit mới hiển thị trong list view, khiến MC khó xem và quản lý toàn bộ sản...",Update màn list product | Training Data (https://www.notion.so/Update-m-n-list-product-Training-Data-2ccb0da449f180b893dee89c31d397ec?pvs=21),
2,"February 6, 2026",Improve FAQs translation (Bỏ Updated status),,Improve FAQs translation (Bỏ Updated status) (https://www.notion.so/Improve-FAQs-translation-B-Updated-status-2b5b0da449f18070afb0ec979661ce60?pvs=21),
3,"February 4, 2026",Zendesk integration,"[New Feature] Zendesk integration – Tự động tạo ticket gửi transcript sau khi resolve 
• Mục đích: Giúp MC tự động lưu lại lịch sử hội thoại trên Zendesk để theo dõi chất lượng hỗ trợ và quản lý ticke...",Integration Zendesk (https://www.notion.so/Integration-Zendesk-288b0da449f180f7ae69ec1dea2a749a?pvs=21),
4,"February 4, 2026",[Improvement] Gợi ý câu hỏi Test AI theo bộ câu hỏi chung,"[Improvement] Gợi ý câu hỏi Test AI theo chủ đề chung
• Vấn đề: Câu hỏi gợi ý khi Test AI hiện phụ thuộc vào custom training data, gây khó khăn khi merchant muốn test nhanh AI ở giai đoạn setup ban đầ...",Gợi ý test case trong preview chat (https://www.notion.so/G-i-test-case-trong-preview-chat-296b0da449f180528df5c20b543add7c?pvs=21),
5,"February 4, 2026",Related conversation tại inbox,"[New Feature] Related conversations tại Inbox
- Mục đích: giúp agent xem nhanh lịch sử các conversation liên quan của khách hàng ngay khi đang chat, để hỗ trợ nhanh và hiệu quả hơn mà không cần rời kh...",[Inbox] Related conversation  (https://www.notion.so/Inbox-Related-conversation-2e5b0da449f180918423f161c7ce1a85?pvs=21),
6,"February 4, 2026",Tạo default FAQs theo ngôn ngữ lựa chọn tại Onboarding,"[Improvement] Tự động tạo FAQs theo ngôn ngữ onboarding
• Vấn đề: Sau khi cài app, FAQs mặc định luôn là tiếng Anh, khiến MC phải chỉnh sửa thủ công và đổi default language (đặc biệt với Free plan chỉ...",Tạo default FAQs theo ngôn ngữ lựa chọn tại Onboarding (https://www.notion.so/T-o-default-FAQs-theo-ng-n-ng-l-a-ch-n-t-i-Onboarding-2d5b0da449f180f5ba95cfdc3b180acc?pvs=21),
7,"February 4, 2026",[Improvement] Hiển thị Discount đúng đối tượng khách hàng,"[Improvement] Hiển thị Discount đúng đối tượng khách hàng
• Mục đích: Đảm bảo khách chỉ thấy các mã giảm giá họ thực sự đủ điều kiện sử dụng, tăng tính cá nhân hoá và cải thiện tỷ lệ convert
• Mô tả:
...",Sync điều kiện về customer segment trên discount (https://www.notion.so/Sync-i-u-ki-n-v-customer-segment-tr-n-discount-2b8b0da449f180e59c32ff14f06c3780?pvs=21),
8,"February 4, 2026",Conversation attribute,"[New Feature] Conversation attributes
• Mục đích: Cho phép MC gắn thêm thông tin tuỳ chỉnh vào từng conversation để quản lý, lọc và phân tích dữ liệu hiệu quả hơn
• Vị trí: Inbox → Conversation detail...",Set attribute cho conversation (https://www.notion.so/Set-attribute-cho-conversation-2f0b0da449f1805bb407dbf1db882944?pvs=21),
9,"February 3, 2026",[Improvement] Cập nhật hiển thị Additional AI Conversation Charge,"[Improvement] Hiển thị đúng additional AI conversation charge
• Vấn đề: Khi phát sinh additional AI conversation charge, app tạo bill theo từng $10 và reset additional charge tại bảng Subscription → M...","[Subscription] Update logic hiển thị additional charge, usage (https://www.notion.so/Subscription-Update-logic-hi-n-th-additional-charge-usage-2f5b0da449f180fe97dbf231337dbdd1?pvs=21)",
10,"February 2, 2026",[Inbox menu] Improve insert link,"[New Feature] Paste link nhanh vào tin nhắn tại Inbox
• Mục đích: Giúp merchant chèn link vào tin nhắn nhanh chóng khi trả lời khách hàng.
• Vị trí: Inbox → Ô nhập tin nhắn.
• Mô tả:
    ◦ Cho phép pa...",[Inbox menu] Improve insert link (https://www.notion.so/Inbox-menu-Improve-insert-link-6eb8e058d61b47f2a31acbcfa0a7b34f?pvs=21),
11,"February 2, 2026",Refactor code proactive chat,"[Improvement] Chuẩn hoá luồng gửi proactive chat 
• Vấn đề: 1 số proactive chat hiện không theo cùng quy chuẩn do mở rộng tính năng theo thời gian, dẫn đến hành vi không nhất quán và khó maintain
• Mụ...",Refactor luồng gửi message campaign hiện tại (https://www.notion.so/Refactor-lu-ng-g-i-message-campaign-hi-n-t-i-2eab0da449f1800e8c5ed875e739f98d?pvs=21),
12,"February 2, 2026",Improve trả lời câu hỏi về collection,"[Improvement] Cải thiện AI trả lời câu hỏi về Collection
• Mục đích: Giúp AI tư vấn đúng sản phẩm trong collection, phù hợp với nhu cầu tìm kiếm của khách hàng.
• Mô tả: Cải thiện cách AI xử lý các câ...",Improve trả lời câu hỏi về collection (https://www.notion.so/Improve-tr-l-i-c-u-h-i-v-collection-280b0da449f18045ba03ff7da1478c07?pvs=21),
13,"February 2, 2026",Định nghĩa conversation tính vào usage,"[Improvement] Chuẩn hoá cách tính AI usage theo conversation
• Mục đích: Làm rõ khi nào 1 conversation được tính vào AI usage, giúp MC dễ hiểu, minh bạch usage
• Mô tả: AI usage được tính theo convers...",Định nghĩa conversation cho AI usage pricing (https://www.notion.so/nh-ngh-a-conversation-cho-AI-usage-pricing-2e5b0da449f180d2a111d28dac2ac4fc?pvs=21),
14,"January 28, 2026",Thêm email thông báo khi đạt monthly usage (trường hợp spending limit > 0),"[Improvement] Cập nhật email thông báo AI usage charge
Vấn đề
Với spending limit mặc định = $1000, merchant không nhận được thông báo khi vượt monthly limit, dẫn đến việc phát sinh chi phí mà không đư...",Thêm email thông báo khi đạt monthly usage (trường hợp spending limit > 0) (https://www.notion.so/Th-m-email-th-ng-b-o-khi-t-monthly-usage-tr-ng-h-p-spending-limit-0-2f5b0da449f180999627f38542b8a4da?pvs=21),
15,"January 28, 2026",Update onboarding segment tệp khách hàng,"Update onboarding experience
Mục đích
• Khảo sát để phân loại đúng nhu cầu merchant
• Thể hiện rõ value của AI, giúp merchant setup nhanh và đúng hướng
Mô tả 
Cập nhật survey: 
• Câu hỏi chính: Bạn mu...","Update onboarding segment tệp khách hàng (https://www.notion.so/Update-onboarding-segment-t-p-kh-ch-h-ng-299b0da449f180b197eff4cf05bc74f0?pvs=21) 

Update onboarding segment tệp khách hàng 2 (https://www.notion.so/Update-onboarding-segment-t-p-kh-ch-h-ng-2-2e1b0da449f180d182c8d8aa85b4948d?pvs=21)",
16,"January 28, 2026",[New Feature] Gợi ý Complementary Products trong Proactive Chat,"[New Feature] Gợi ý complementary products trong proactive chat
• Mục đích: giúp MC gợi ý sản phẩm bổ trợ để tăng giá trị đơn hàng
• Vị trí: Proactive chat → Product recommendation
• Mô tả:
    ◦ Bổ s...",[Product recommendation teaser] Thêm gợi ý sản phẩm complementary (https://www.notion.so/Product-recommendation-teaser-Th-m-g-i-s-n-ph-m-complementary-2cbb0da449f18065a5f5f92b1b9adb73?pvs=21),
17,"January 26, 2026",[Joy integration] Require ultimate plan,"[Improvement] Cải thiện UX khi kết nối JOY Loyalty
• Vấn đề: JOY chỉ cấp quyền API từ plan Ultimate, khiến merchant ở các plan khác không sử dụng được integration (hiển thị profile & AI trả lời loyalt...",[JOY integration] Thêm require Ultimate plan khi connect (https://www.notion.so/JOY-integration-Th-m-require-Ultimate-plan-khi-connect-2efb0da449f180b4b450dafbfdffda24?pvs=21),
18,"January 26, 2026",Create new conversation,"[New Feature] Tạo Conversation trực tiếp tại Inbox
• Mục đích: giúp MC chủ động tạo hội thoại với khách hàng ngay từ Inbox để xử lý hỗ trợ hoặc follow-up nhanh hơn
• Mô tả:
    ◦ Thêm nút Create Conve...",[Inbox] Create conversation (https://www.notion.so/Inbox-Create-conversation-2ecb0da449f180d8b9e6ee0ed03f35c8?pvs=21),
19,"January 23, 2026",Update AI assistant list view layout,"[Improvement] Tối ưu layout màn AI để dễ tập trung thao tác
• Vấn đề: Màn AI hiện hiển thị nhiều layout khác nhau, khiến merchant khó tập trung vào tác vụ chính
• Mục đích: Đơn giản hóa giao diện, giú...",Improve AI assistant layout P2 (https://www.notion.so/Improve-AI-assistant-layout-P2-2a3b0da449f180e09b1ae9a845dfdb64?pvs=21),
